,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
296,Progreso,90,UY,1564161534,93,-34.68,-56.22,55.4,5.82
297,Tautira,20,PF,1564161535,83,-17.73,-149.15,73.4,4.7
298,Rio Gallegos,0,AR,1564161536,52,-51.62,-69.22,44.6,18.34
299,Antalaha,29,MG,1564161538,94,-14.9,50.28,61.78,4.9
300,Huarmey,60,PE,1564161540,84,-10.07,-78.15,61.6,15.97
301,Pimentel,45,BR,1564161541,43,-3.7,-45.5,90.22,6.08
302,Safranbolu,0,TR,1564161542,71,41.25,32.69,62.86,2.24
303,Lobito,13,AO,1564161544,90,-12.35,13.55,66.1,2.44
304,Bocana de Paiwas,100,NI,1564161545,53,12.79,-85.12,83.38,8.5
305,Katsuura,75,JP,1564161547,78,33.93,134.5,80.6,12.75
306,Bontang,100,ID,1564161548,98,0.12,117.47,71.32,1.45
307,Luanda,0,AO,1564161354,119,-8.83,13.24,78.8,8.05
308,Hualmay,77,PE,1564161551,83,-11.1,-77.61,60.88,15.59
309,Tomatlan,87,MX,1564161553,60,19.93,-105.25,86.44,7.72
310,Anadyr,40,RU,1564161554,93,64.73,177.51,44.6,6.71
311,Tuktoyaktuk,20,CA,1564161555,76,69.44,-133.03,51.8,19.46
312,Colesberg,0,ZA,1564161556,21,-30.72,25.1,49.9,4.83
313,Lugovoy,63,RU,1564161558,79,59.72,65.88,64.12,5.17
314,Vanino,100,RU,1564161559,64,53.93,40.55,70.0,7.58
315,Gornopravdinsk,77,RU,1564161561,55,60.06,69.92,63.76,7.29
316,Nabire,99,ID,1564161562,99,-3.36,135.5,68.26,3.83
317,Coquimbo,0,CL,1564161563,51,-29.95,-71.34,60.8,11.41
318,Imamoglu,0,TR,1564161565,48,37.26,35.66,86.0,8.05
319,Geraldton,90,CA,1564161567,77,49.72,-86.95,69.8,14.99
320,Nara,58,JP,1564161569,83,34.68,135.8,80.6,12.75
321,Honiara,40,SB,1564161391,94,-9.43,159.96,75.2,5.82
322,Twentynine Palms,20,US,1564161449,31,34.14,-116.05,102.99,3.36
323,Myitkyina,100,MM,1564161573,97,25.38,97.4,71.86,1.41
324,Port Blair,43,IN,1564161574,79,11.67,92.75,82.84,21.39
325,Waipawa,2,NZ,1564161576,94,-39.94,176.59,39.99,1.3
326,Urdoma,86,RU,1564161577,75,61.74,48.55,64.84,4.81
327,Talaya,40,RU,1564161579,93,55.79,84.89,57.2,2.24
